=============================================
  RAG Evaluation Pipeline
  Started:     2026-04-26 22:34:58
  Mode:        run
  Approaches:  lightrag,agentic_rag,crag
  Max workers: 3
  Log file:    /root/home/masterarbeit_implementation/rag_evaluation/pipeline_20260426_223458.log
=============================================
[2026-04-26 22:34:58] INFO  Approach [agentic_rag] starting

=============================================
  [2026-04-26 22:34:58] Running: Agentic RAG
=============================================
[2026-04-26 22:34:58] INFO  Starting [agentic_rag]: /root/home/masterarbeit_implementation/rag_evaluation/approaches/agentic_rag/run.py --questions data/questions/allquestions.json --max-workers 3 --output-dir /root/home/masterarbeit_implementation/rag_evaluation/outputs
[AgenticRAG] Processing 153 questions (max_workers=3)
  [1/153] q001: tier=no_retrieval, 3.042s
  [2/153] q002: tier=single_step, 5.898s
  [3/153] q003: tier=single_step, 6.986s
  [4/153] q004: tier=single_step, 6.381s
  [5/153] q005: tier=single_step, 5.614s
  [6/153] q006: tier=multi_step, 11.076s
  [7/153] q008: tier=single_step, 7.013s
  [8/153] q007: tier=multi_step, 11.301s
  [9/153] q009: tier=single_step, 5.879s
  [10/153] q010: tier=single_step, 6.868s
  [11/153] q011: tier=single_step, 6.1s
  [12/153] q012: tier=no_retrieval, 5.742s
  [13/153] q013: tier=single_step, 5.379s
  [14/153] q014: tier=single_step, 7.687s
  [15/153] q015: tier=single_step, 5.983s
  [16/153] q016: tier=single_step, 6.114s
  [17/153] q017: tier=no_retrieval, 5.19s
  [18/153] q019: tier=single_step, 7.415s
  [19/153] q020: tier=single_step, 5.769s
  [20/153] q018: tier=multi_step, 11.655s
  [21/153] q021: tier=single_step, 6.426s
  [22/153] q023: tier=single_step, 7.111s
  [23/153] q024: tier=single_step, 6.063s
  [24/153] q026: tier=multi_step, 9.258s
  [25/153] q025: tier=multi_step, 12.205s
  [26/153] q022: tier=multi_step, 27.282s
  [27/153] q028: tier=single_step, 6.216s
  [28/153] q030: tier=no_retrieval, 3.661s
  [29/153] q027: tier=single_step, 11.374s
  [30/153] q029: tier=single_step, 5.666s
  [31/153] q032: tier=single_step, 5.782s
  [32/153] q033: tier=single_step, 5.774s
  [33/153] q031: tier=multi_step, 11.427s
  [34/153] q035: tier=single_step, 4.766s
  [35/153] q034: tier=single_step, 5.995s
  [36/153] q036: tier=no_retrieval, 4.053s
  [37/153] q037: tier=single_step, 6.15s
  [38/153] q038: tier=single_step, 6.25s
  [39/153] q039: tier=no_retrieval, 3.845s
  [40/153] q041: tier=multi_step, 5.026s
  [41/153] q040: tier=single_step, 6.438s
  [42/153] q042: tier=single_step, 6.852s
  [43/153] q043: tier=single_step, 6.708s
  [44/153] q045: tier=single_step, 5.967s
  [45/153] q044: tier=multi_step, 12.71s
  [46/153] q047: tier=single_step, 6.295s
